0,01;150,07
0,51;150,05
1,02;149,13
1,53;147,41
2,04;145,28
2,54;142,56
3,05;140,17
3,55;137,81
4,06;135,51
4,56;133,29
5,07;131,17
5,57;129,14
6,08;127,21
6,58;125,36
7,09;123,61
7,6;121,93
8,1;120,33
8,61;118,81
9,11;117,35
9,62;115,95
10,13;114,62
10,63;113,33
11,14;112,11
11,64;110,93
12,15;109,57
12,65;108,48
13,16;107,44
13,66;106,44
14,17;105,47
14,68;104,54
15,18;103,64
15,69;102,76
16,19;101,92
16,7;101,11
17,2;100,32
17,71;99,56
18,21;98,82
18,72;98,1
19,22;97,41
19,74;96,73
20,24;96,08
20,75;95,44
21,25;94,82
21,76;94,1
22,26;93,52
22,77;92,95
23,28;92,4
23,78;91,88
24,29;91,35
24,79;90,83
25,3;90,33
25,8;89,85
26,31;89,37
26,82;88,91
27,32;88,45
27,83;88
28,34;87,57
28,85;87,14
29,35;86,72
29,86;86,31
30,36;85,83
30,87;85,44
31,37;85,05
31,88;84,68
32,38;84,31
32,89;83,94
33,39;83,58
33,9;83,23
34,41;82,89
34,91;82,55
35,42;82,22
35,92;81,89
36,43;81,56
36,93;81,25
37,44;80,93
37,95;80,62
38,45;80,32
38,96;80,02
39,47;79,72
39,97;79,37
40,48;79,09
40,98;78,81
41,49;78,53
41,99;78,25
42,5;77,98
43;77,71
43,51;77,45
44,02;77,19
44,52;76,93
45,03;76,67
45,53;76,43
46,04;76,18
46,54;75,93
47,06;75,68
47,56;75,44
48,07;75,2
48,57;74,97
49,08;74,68
49,58;74,45
50,09;74,22
50,59;74
51,1;73,77
51,6;73,55
52,11;73,32
52,62;73,1
53,12;72,88
53,63;72,67
54,13;72,45
54,64;72,24
55,14;72,04
55,65;71,83
56,15;71,62
56,66;71,42
57,17;71,22
57,67;71,01
58,18;70,81
58,69;70,57
59,19;70,38
59,7;70,18
60,2;69,99
60,71;69,8
61,21;69,6
61,72;69,41
62,22;69,23
62,73;69,04
63,23;68,85
63,74;68,67
64,24;68,48
64,75;68,3
65,25;68,12
65,77;67,94
66,27;67,76
66,78;67,59
67,28;67,41
67,79;67,2
68,29;67,02
68,8;66,85
69,3;66,68
69,81;66,51
70,31;66,33
70,82;66,16
71,32;65,99
71,83;65,83
72,33;65,66
72,84;65,49
73,34;65,33
73,85;65,16
74,36;65
74,86;64,84
75,37;64,68
75,88;64,51
76,38;64,35
76,89;64,19
77,39;64,01
77,9;63,85
78,4;63,69
78,91;63,54
79,42;63,38
79,92;63,23
80,43;63,07
80,93;62,92
81,44;62,77
81,94;62,62
82,45;62,47
82,95;62,32
83,46;62,17
83,96;62,02
84,47;61,87
84,98;61,72
85,49;61,57
85,99;61,43
86,5;61,29
87;61,11
87,51;60,97
88,02;60,83
88,52;60,68
89,02;60,54
89,53;60,4
90,04;60,26
90,54;60,12
91,05;59,98
91,55;59,85
92,06;59,71
92,56;59,57
93,07;59,43
93,57;59,3
94,08;59,16
94,59;59,02
95,1;58,89
95,6;58,76
96,11;58,59
96,61;58,46
97,12;58,33
97,62;58,2
98,13;58,06
98,64;57,93
99,14;57,8
99,65;57,68
100,15;57,55
100,66;57,42
101,16;57,29
101,67;57,16
102,17;57,04
102,68;56,91
103,18;56,79
103,7;56,66
104,2;56,54
104,71;56,41
105,21;56,29
105,72;56,14
106,22;56,02
106,73;55,9
107,23;55,77
107,74;55,65
108,24;55,53
108,75;55,41
109,26;55,3
109,76;55,18
110,27;55,06
110,77;54,94
111,28;54,82
111,78;54,7
112,29;54,59
112,8;54,47
113,31;54,35
113,81;54,24
114,32;54,13
114,82;53,99
115,33;53,88
115,83;53,76
116,34;53,65
116,84;53,53
117,35;53,42
117,86;53,31
118,36;53,2
118,86;53,09
119,37;52,98
119,88;52,87
120,38;52,76
120,89;52,65
121,39;52,54
121,9;52,43
122,41;52,32
122,91;52,22
123,42;52,11
123,92;51,98
124,43;51,88
124,93;51,77
125,44;51,67
125,94;51,56
126,45;51,46
126,95;51,35
127,46;51,25
127,96;51,15
128,47;51,04
128,97;50,94
129,48;50,84
129,98;50,74
130,49;50,64
131;50,54
131,51;50,44
132,01;50,34
132,52;50,24
133,02;50,14
133,53;50,02
134,04;49,92
134,54;49,82
135,05;49,72
135,55;49,63
136,06;49,53
136,56;49,43
137,07;49,34
137,57;49,24
138,08;49,15
138,58;49,05
139,09;48,96
139,59;48,86
140,1;48,77
140,6;48,67
141,12;48,58
141,62;48,49
142,13;48,4
142,63;48,3
143,14;48,19
143,64;48,11
144,15;48,01
144,65;47,92
145,16;47,83
145,66;47,74
146,17;47,65
146,67;47,56
147,18;47,47
147,68;47,38
148,19;47,3
148,7;47,21
149,2;47,12
149,71;47,04
150,21;46,95
150,73;46,86
151,23;46,78
151,74;46,69
152,24;46,61
152,75;46,5
153,25;46,42
153,76;46,33
154,26;46,25
154,77;46,17
155,27;46,08
155,78;46
156,29;45,91
156,79;45,83
157,3;45,75
157,8;45,67
158,31;45,59
158,81;45,5
159,32;45,42
159,83;45,34
160,34;45,26
160,84;45,18
161,35;45,1
161,85;45,01
162,36;44,93
162,87;44,85
163,37;44,77
163,88;44,69
164,39;44,61
164,89;44,53
165,4;44,46
165,9;44,38
166,41;44,3
166,91;44,23
167,42;44,15
167,92;44,08
168,44;44
168,94;43,93
169,45;43,85
169,95;43,76
170,46;43,69
170,96;43,61
171,47;43,54
171,98;43,47
172,48;43,39
172,99;43,32
173,49;43,24
174;43,17
174,5;43,1
175,01;43,03
175,51;42,96
176,02;42,89
176,52;42,81
177,03;42,74
177,54;42,67
178,05;42,6
178,55;42,53
179,06;42,45
179,57;42,38
180,07;42,31
180,58;42,24
181,08;42,17
181,59;42,1
182,09;42,03
182,6;41,97
183,1;41,9
183,61;41,83
184,12;41,76
184,62;41,7
185,13;41,63
185,63;41,56
186,14;41,5
186,65;41,43
187,15;41,37
187,66;41,3
188,16;41,23
188,67;41,16
189,18;41,09
189,68;41,03
190,19;40,96
190,69;40,9
