25,3.37E+07
30,2.69E+07
35,2.16E+07
40,1.75E+07
45,1.43E+07
50,1.19E+07
55,8.81E+06
60,7.43E+06
65,6.30E+06
70,5.41E+06
75,4.67E+06
80,4.08E+06
85,3.60E+06
90,3.21E+06
95,2.89E+06
100,2.64E+06
