0.000000000000000000e+00,2.256142475923625752e+07
1.000000000000000000e+00,2.147524832794226706e+07
2.000000000000000000e+00,2.044302208387053758e+07
3.000000000000000000e+00,1.946206633096298203e+07
4.000000000000000000e+00,1.852983447318088636e+07
5.000000000000000000e+00,1.764390640345095843e+07
6.000000000000000000e+00,1.680198222098126635e+07
7.000000000000000000e+00,1.600187626063693501e+07
8.000000000000000000e+00,1.524151141887569986e+07
9.000000000000000000e+00,1.451891376151320338e+07
1.000000000000000000e+01,1.383220739931960031e+07
1.100000000000000000e+01,1.317960961814439110e+07
1.200000000000000000e+01,1.255942625092704035e+07
1.300000000000000000e+01,1.197004727957901172e+07
1.400000000000000000e+01,1.140994265531951748e+07
1.500000000000000000e+01,1.087765832661445066e+07
1.600000000000000000e+01,1.037181246440685727e+07
1.700000000000000000e+01,9.891091874839540571e+06
1.800000000000000000e+01,9.434248590157078579e+06
1.900000000000000000e+01,9.000096628937128931e+06
2.000000000000000000e+01,8.587508917240457609e+06
2.100000000000000000e+01,8.195414362686885521e+06
2.200000000000000000e+01,7.822795073861360550e+06
2.300000000000000000e+01,7.468683717831626534e+06
2.400000000000000000e+01,7.132161008917512372e+06
2.500000000000000000e+01,6.812353322192590684e+06
2.600000000000000000e+01,6.508430425522789359e+06
2.700000000000000000e+01,6.219603324254232459e+06
2.800000000000000000e+01,5.945122212955037132e+06
2.900000000000000000e+01,5.684274528893737122e+06
3.000000000000000000e+01,5.436383102201081812e+06
3.100000000000000000e+01,5.200804397912951186e+06
3.200000000000000000e+01,4.976926845330700278e+06
3.300000000000000000e+01,4.764169250361857936e+06
3.400000000000000000e+01,4.561979286719589494e+06
3.500000000000000000e+01,4.369832062063992023e+06
3.600000000000000000e+01,4.187228755362918135e+06
3.700100040435791016e+01,4.013526107283822261e+06
3.800200033187866211e+01,3.848459728071129415e+06
3.900300025939941406e+01,3.691600157069609966e+06
4.000400018692016602e+01,3.542539366300846916e+06
4.100500035285949707e+01,3.400889581330070738e+06
4.200500035285949707e+01,3.266413472694708500e+06
4.300600028038024902e+01,3.138492211303479970e+06
4.400600028038024902e+01,3.017049332658845466e+06
4.500700020790100098e+01,2.901526014942033682e+06
4.600700020790100098e+01,2.791853204484034330e+06
4.700800013542175293e+01,2.687526239668671042e+06
4.800800013542175293e+01,2.588482759408680722e+06
4.900800013542175293e+01,2.494358750929904636e+06
5.000800013542175293e+01,2.404909864957230166e+06
5.100800013542175293e+01,2.319903888999918941e+06
5.200800013542175293e+01,2.239120144519720227e+06
5.300800013542175293e+01,2.162348914041533135e+06
5.400800013542175293e+01,2.089390896719377022e+06
5.500800013542175293e+01,2.020056690944306552e+06
5.600800013542175293e+01,1.954166302651092876e+06
5.700800013542175293e+01,1.891548678047229070e+06
5.800800013542175293e+01,1.832041259551194962e+06
5.900800013542175293e+01,1.775489563787193969e+06
6.000800013542175293e+01,1.721746780540811364e+06
6.100800013542175293e+01,1.670673391634474974e+06
6.200800013542175293e+01,1.622136808733300772e+06
6.300900030136108398e+01,1.575966062027537497e+06
6.401000022888183594e+01,1.532090853845885023e+06
6.501000022888183594e+01,1.490437640574194258e+06
6.601000022888183594e+01,1.450853334884800250e+06
6.701100015640258789e+01,1.413198510050348705e+06
6.801100015640258789e+01,1.377450658027769998e+06
